,Text,Offensive
34,Dramebaaj anna kya bjp ki government aate hi lokpal Bill aur lokpal bhool gaye baat karne Mae sharm bhi nahi aatee,OAG
35,Unfortunately this is wat indian govt is capable of doing!!!!...i dint vote for modiji to see such crap..,CAG
36,"it's coward like  u who backstab .... just wait and watch .. u forgot the day when 2 lakh porkis soldier were freed from India ... by the way what r u doing in indian news channel , dont your country have your own channels ?",OAG
37,Hi Anuj brought  divis to days at 710 what to do and Tata motor dvr 275 any target,NAG
38,People talk about common man suffering all the time.This is the same country where thousands laid their lives for freedom.Cant the common man endure little trouble to stand in queues for the greater good.,CAG
39,I visited 5 atm but I cont able to withdraw from money..not working..,CAG
40,"I know you people of Nagaland

And Meghalaya hate bjp

But its the truth

2 lok sabha seats from those 2 states can't stop bjp

Assam and arunachal yes it matters

But these states are becoming strongholds of bjp day by day
Including Manipur

Tripura

And sikkim",NAG
41,"Modi ji,  all the Pain & nö Real Gain.",CAG
42,"Hell with BJP. All political  parties are corrupt and I do not like anyone. They are there to only make money whomsoever you may vote.  But supporting Naxalites who kill our soldiers,  taking side of JNU students who shout ""Bharat ke tukde Katenge"" and Afzhal Guru tere Katil jinda hai and very recent ""there is nothing wrong in chanting Pakistan zhindabad "" are all attributed to this man. Hence he is decidedly antinational.",CAG
43,It was mobbing the poor girl.... Instead of helping her... Jump into conclusions ....impulsive,OAG
44,"oh...i get it...he's saying 'screw you bajaj, for making me do this'!",OAG
45,"udhav has shown bjp its place,bravo shivsena",CAG
46,Unebeivable atory. Some time back India was wrongly claiming surgical strikes in Pakistan and now claiming surgicam strike  by Pakistan. Wrong again.,CAG
47,please advice about Bank nifty & how the NPA will benefit for PSU Banks ?,NAG
48,Plz share ur view on astec life??  Bought at 675,NAG
49,We should use offensive defensive strategy doctrine.learn lessons from Israel ..and give free hand to security forces and covert missions inside pak to bleed Pakistan.,NAG
50,"Tollywood Parbhas Die Heart Fans Where Is Parbhas Acting in Bahubali 2 😂😂😂😂😂Bahubali 2 it's Graphics Cartoon Movie Don't Compare Indian Cinema Bollywood Movies Khan Acting Aamir , Salman & Shahrukh Acting",CAG
51,Shame shame & then these lowly so called educated civilised popation of Pakistan claim Pakistani army to be professional soldiers .... They true are professionals but are professional terrorists ..... Certainly not soldiers .... Not only India & Indians but the global world is now understanding & recognising them as professional terrorists.,OAG
52,"India must prevent Pak soldiers to cross LOC and their coming into India stealthily at all cost. For that purpose we should use bullets liberally. At the same time, India should also slap a trade embargo on Pakistan, and urge and  convince the US and other powerful nations to introduce economic sanctions against Pakistan for an indefinite period. Then only this terrorist state would be brought down to its knees.",NAG
53,"Haram - Pig
Pig - Scavengers
Scavengers - Eat dead
Harm Dead - Mutilation
Mutilation - Pakistan
Pakistan - Pig",OAG
54,"On the other hand Reliance Jio is giving for 3k - 3 months subscription to Unlimited calling (STD, Roaming), Unlimited 4G (this means actual 4G speed).  Oh and wait, they extended this plan from 3 months to 4 for the early customers. 
Airtel has got to lower their 4G/3G rates. For 1599 just 5GB internet? :|",NAG
55,Mistry has to substantiate wrong doing by Tata Sons: Tata Counsel,NAG
56,what is the view on suzlon energy in view of the purchase by canadian solar,NAG
57,Baba always wants to encash the emmotional  atmosphere hes lost his sheen drastically dramatically.,NAG
58,People will be happy if they have at 2 km,CAG
59,Please don't lose the series.. It'll be Shameful to lose against this Australian team at home...,NAG
60,Well said,NAG
61,India has become a leading country in mobile data usage: Mukesh Ambani,NAG
62,Agreed.,NAG
63,"Where is Intolerance indian Groups ....Where is all.khan ....
Amir khan muslim...on talking Every thinks....",OAG
64,Tweet or Hate ??,CAG
65,Indian Express found Shirish Kunder more acknowledgeable personality    for front page news --- This is where standard of Indian express gone down -- Oh I forgot Wife of Sitaram Yachur is resident editor of Indian Express --- Then it is ok,CAG
66,#ENTERTAINMENT | Karan Johar might have Justin Bieber to kick off the sixth season of #KoffeeWithKaran.,CAG
67,But that's hypothetical. BJP will never win.,CAG
68,Mohit Soni this is reality bro please read carefully,NAG
69,"5 lakh to both(unbiased approach) regardless of rank of medal👍👍, proud to be a footballer😐",NAG
70,Pakisthan has got no guts to admit any thing true....liars,OAG
71,I'm not a salman fan mate but i think you are a fan of zee news nano chit in 2000 notes and lets not talk about intellect here coz people who have low intellect judge people based on their choices,CAG
72,"----Majority of Kashmiris are pro-India but are unable to assert effectively in order to bring normalcy in Kashmir hence on invitation I will be going to Kashmir where with all the pro-India Kashmiris we (through political movement) will try to bring normalcy in Kashmir and also to solve Kashmir problem as mentioned at:-

http://aapress.com/ethnicity/indian/another-opportunity-to-solve-kashmir-problem/  OR

http://www.alwihdainfo.com/Another-opportunity-to-solve-Kashmir-problem_a43528.html  OR

http://www.pakistanchristianpost.com/letterdetails.php?letterid=790 OR

https://groups.yahoo.com/neo/groups/kashmir-global-network/conversations/messages/50215 

Regards

Email: hemraj_jain@yahoo.com",NAG
73,But lynching was never a part of the freedom struggle but how can the chaddis who were always chamchas of the British know that?,CAG
74,Sham on you,OAG
75,"Dear India,  stop playing with the emotions of your people for votes.",CAG
76,Why don't you compare the five worst riots post Independence and let's know where he faltered more than the Congress CMs of the other riot hit states,NAG
77,"I remember Japanese fan doing that during last FIFA world cup, now am wondering if Mizo's are decedent's of Japanese during World War II in famous battle of Kohima between Britishers and Japs 😝😝😝
P.s. Pun intended",NAG
78,When is work on NH-8 getting completed? Particluarly Hero Honda Chowk??,NAG
79,Anna hazare is agent,CAG
80,Ask the khans to do it... Any ways they kill them when drunk.... And then start with being human,CAG
81,"You can be sure that the gunman was a white American (christian and not a muslim), otherwise the headline would read ""muslim"" and not ""Beer-drinking"" as the first word.  There would be more calls for Trump's  ""muslim ban"", which the world's laughing stock has failed to implement - but will the great Orange One now call for a ""Beer-drinking ban""?",CAG
82,If you cannot do any good for your country   at least support those who are trying to do something better for country. Today whole world recognise India just because of Modi.,CAG
83,"And these are the people promising not banning beef in the North East, hypocrisy at its best.",OAG
84,You should not take this guy seriously.After all his only contribution is producing three children.,OAG
85,"All Indian Muslims are anti Indians just they are waiting to become how soon they will become majority people and grab India,and always their heart sympathy with Pakistan and out side they shows they love India,all farce.",OAG
86,What the hell is happening 🤔,OAG
87,man what's with you people copy pasting the same comment everywhere.. don't y'all get tired..,CAG
88,"Amma will always remain in our Hearts
May her noble soul Rest in peace.",NAG
89,i like,NAG
90,As per Zee News 405 for seats for BJP in UP. Total constituency is 403. Two seats given by Zee News on free of cost.,CAG
91,Irony is your display picture at one end you are happy seeing some one innocent dying and at other end you are praying to not kill an innocent,CAG
92,What about Tata motors.. Has there been over reaction.. What's your view,NAG
93,You army entered like thief's in our territory.  Your army-men are cowards. India did surgical strikes and informed informed your army.,OAG
94,No one can defeat Modi now Bihari people might be saddened they dint elect bjp jdu a burden for them,CAG
95,Anuj and Porinju of the view that markets will make a new high before the budget,NAG
96,So called seculars ruled nation for 60yrs and they didn't even banned RSS......lol,OAG
97,#salute you my friend,OAG
98,This puppet came out for MCD election #chutiya,CAG
99,"They r getting benefits as those areas r not getting used that's why's , start ing roads will make them weak ,",CAG
100,r u guys from dis university? Gaurav Seth PJ Anshu Mishra Shubham Singh,NAG
101,It's alright. We lost a match not the series. Losing & winning is part of the game you can't always win every game. You win some. you lose some.,NAG
102,So they fired across the border then went in to mutilate the corpses . Sorry I don't buy this at all.,CAG
103,Do you see nifty hitting all time highs within this expiry??,NAG
104,"Yes sir. That, of course will happen. When cow become President, PM, CM, MP, MLA and human loiter on road foraging for food, dying after swallowing plastic.",CAG
105,"Let us accept the fact that We have a mini Pakistan here & many pro Pakistani anti national elements exists within the country. Which are being funded by enemy countries to weaken the integrity,peace & security of the nation by the help of few heavyweight traitors in politics. Be it in North- east, Kashmir or Hyderabad as long as a large section of fringe elements for their short term political or monetary gains prefer to destabilize the economy or national integrity following the support of external forces, resolving the issue of Pakistan or China will  be a distant dream for Mr Modi & his associates. Unless the rotten fishes are taken out from the pond we cannot expect a clean system.",NAG
106,"Winning elections is not important but living upto expectations of citizens.  These days people blindly vote for religion not development
frankly speaking we need activists of all like minded people who want to experience unbiased development these group of activist should keep a legal check on POLITICIANS, beurocrats to see they are functioning properly and not squandering public money.  This is  only way to save our country from religion based and corrupt politicians",OAG
107,Guess what...  All this happens daily right..??,OAG
108,Congratulations!,NAG
109,"11000 or 11 Lakh. In the end, truth prevails and the truth is that Kejriwal delivers! Period!!",NAG
110,"True, any good work is opposed by group of vested interest.In fact our political parties often support such elements in search of vote banks. Aggressive media activism is also absent. Hi",CAG
111,"would like to know on Welspun india, REC, Wockhardt, GATI, and Metalyst",NAG
112,True,CAG
113,"Guys.. how long we bear this nussiance. Are we so weak that we cannot give a befitting reply,,😡😡😡😡",NAG
114,".However, reservation is not poverty alleviation scheme, it is there for only those social groups, historically who has been exploited, marginalized, rendered weaker. Muslims wanted window within OBCs, Supreme Court says, you can create subwindow within OBCs, without breaching 50% barrier, but not on the basis of religion.",CAG
115,"jokes are made very seriously , this is indian way of doing business -fear of uncertainty",NAG
116,I am for freedom of speech but against the lampooning freedom of speech of another young person!,CAG
117,if they not then their Image will be  further deteriorated,OAG
118,We will see a new battle btwn Tata sons and shapoorjees..,NAG
119,Mens blame .daily soaps for women s .mental violence against men,NAG
120,"And there was a time when we had Congress both at the state and at the centre, 15 years in Assam and 10 years at the centre, and most importantly a PM nominated from Assam!",NAG
121,He  should be payed by police who kept the money with them. Or as promised RBI,CAG
122,"Yes, Antonio..for us, God is within us. So everything/everyone is a manifestation of God to the followers of the Sanatana Dharma.",NAG
123,our President has no history like modi who kills thousand Muslims in gujrat,OAG
124,Mouni baba open mouth,CAG
125,"Anna, unfortunately, has lost all credibility. He has conveniently forgotten the Lokpal bill.  He is saffron under the skin. Kejriwal on the other hand transformed the face of Indian politics. The major parties have quietly adopted everything he stood for.",CAG
126,"1). Rule says that loudspeakers should not be used between 10pm and 6am.

2)""If Muslims have the right to give azaan, non-Muslims have the right to sleep peacefully."" High court verdict",CAG
127,If india can fire on innocent civilians then mutilating their soldiers is fully justified,OAG
128,"Mohammad Usman. Get out from my country. 
Partition was based on two nations theory. So ALL MUSLIMS SHOULD HAVE GONE TO PAKISTAN.",OAG
129,I wanna meet the girl who said the iPhone is user friendly!!!,CAG
130,But it's a big decision and TATA need to clear the air.,NAG
131,Hello anuj sir your views on just dial after this rally will this continue or profit booking,NAG
132,"You are the best of all...💞 
Our Cutiepie...
All the best 😊 for your film 🎥 #PHILLAURI...💕",NAG
133,please advice about Bank nifty & how the NPA will benefit for PSU Banks ?,NAG
134,That will soon happen when china will be depend on Pakistan. Supporting Pakistan means end of humanity,OAG
135,Hope u get well soon. My wishes for u. I got it there's no point wasting my time to make u understand anything. All the best buddy.,CAG
136,Correption made essy becouse  2000rs note are big amount as compaire to 500rs and 1000rs.,NAG
137,"Please leave this secular stands, do something good to society",NAG
138,In mumbai too many top politician will pray for his health,NAG
139,"Then what happens in pantry coach dedicated for catering in every express..do we really get food, meal from the picture above when we travel by indian railways? If yes then please let us know the name of the express...the fact is the railway passengers get pathetic food served in indian railways...",OAG
140,There are many people who are dumb enuf to undrstand dese things,CAG
141,"Bhaiya sabse pahle ye hai kon... mahangaayi badhi to banwaas pr gaye hue the,
Note ban pr ese ghayab hue jaise gadhe k sir se seeng,
Patrol and eatables price hike pr to ye mr india ban gaye the k kahin dikhe hi nahi.  Or ab aagaye neend se jaag kar k chalo thoda publicity b lelun.",CAG
142,"Congratulations Bmp & Modiji, Please do something to develop India, Except good speeches",CAG
143,Obviously haven't read about turning the other cheek. Funny kind of Christian fellow.,CAG
144,Modi ji's elevation too was so ominous that some sickulars and antidemocratic individuals declared that they would leave the country if he becomes PM! Same black forces are now chanting the same mantras oblivious of the fact that this is 21st century and people can differentiate between chalk and cheese!,CAG
145,NDA rules party 🎉 good governance 😝😝,CAG
146,What has bjp done in last 10 yr in MCD...stop barking..do work now,OAG
147,"Thanks for acknowledging, I'm a Chelsea fan though so I'm happier than you too! :)",NAG
148,"Bhai this is not mainstream. Even Mira Rajput said third wave feminism is destructive.

And yes, mainstream feminists are indeed bullies. They keep on rioting and creating ruckus. They hate free speech, they conceal facts, they project lies etc (I have evidence for all of it. So please counter my perspective and not my facts)",CAG
149,These were happening 24×7. But the administration was always in sleeping mode.,CAG
150,Pm is lair means den u lair nd u praying god also lai,NAG
151,She has been so priveleged all her life. But we have to work to meet our ends. We don't get to make our choices.,CAG
152,please comment on rain industry  regarding today stellar result,NAG
153,Royal Enfield is icon... its not possible to shake image,NAG
154,Bank of England is ready to infuse £250bn of additional funds into the economy to help it tide over the economic crisis likely to be caused by Brexit.,NAG
155,So called #GauRakshaks..... Claim that they r protecting 🐄 in d mother #Gaumata.... And dese #Gundaz sell der mother in d market...#Export der mother to the other countries.... when shes of no use for them...... #Shame on dese #Bhakts....,NAG
156,communal feelings on peak in so called multicultural country,OAG
157,Pappu is on leave till next election :D,OAG
158,"Dear Indian Express, I feel sorry to write that your journalists are out there to misinterpret events and present them in a distorted manner just to make some sensational headlines. The news about upcoming singer Nahid Afreen has been prepared without proper research and investigation. It was very sad to see that your journalists don't even know the difference between fatwa and appeal. A fatwa is a non-binding legal opinion issued only by a qualified jurist (Mufti) on a request by someone who is unable to understand religious guidelines whereas the leaflet that is being circulated and presented as Fatwa is just a hard copy of an appeal signed by 46 men who believe in religious practices. The merit of appeal can be discussed on many grounds and in many dimensions but first and foremost, an appeal can not be called a legal opinion (Fatwa). We expect apology from your side for such a mistake.",CAG
159,sharukh travels in a broad gauge ......steam engine reporter can stop whistling for every steam during the news,CAG
160,Agreed..,NAG
161,Heheheh how can you suppose that they care about their image? They (Pakistani) are heading toward to sell whole nation to China in the name of CPEC.,OAG
162,"Matt Ellis I would not believe a thing israel says, as israel lies like its sugar Daddy america. It too claims to be a country that cares but when you look behind the curtain there is nothing but lies, Hatred toward others and Death",OAG
163,Will metals rally for sometime now,NAG
164,Ram NATH ji Goenka must be feeling shame on his successors...,OAG
165,"Really Mr. Jack, then Plz reveal how much black money is destroyed, banks received around 99.8% of 1000, 500 notes back in accounts then where is the black money.",NAG
166,He should be allowed to travel in goods train carrying beasts..he is as worth as they are. That luxary is more than enough for him (it!!!).,CAG
167,Not surprised! Perhaps u did not hear d news of launching of cow -ambulance service in UP recently. No ambulance service for poor n needy but focus is on cow.Ridiculous!,OAG
168,"Haha, so 60 years no development, only loot !!! Good you accept now !!",NAG
169,"Pak Army intruded into Indian terrirtory, killed indian soldiers, had some laugh cup of tea with biscuits, mutilated their bodies and went back to their barracks, now tell me while this all rubbish was happening what were indian border forces doing watching mia khalifa and sunny leone?",OAG
170,Heh turkey is the 3rd class pathetic country i know.,CAG
171,Don't u think u r going too far u Son   of a B****........#Nigam,OAG
172,BJP won 81 seats more than 50 seats of 2012. This is not win at all .84 seat win of Siva sena is land mark win according to this toilet paper,OAG
173,"�

 ♥PYTHON♥BOT♥TEAM♥

♪----» TAYYAB-XD.TK «----♪

♥♡o. BOT OWNER 💢 TAYYAB KHAN 💢",NAG
174,Surgical strike by Pakistan and we do surgical strike through media! Long live Modi diplomacy!  #SaveIndia,NAG
175,No,NAG
176,Digesting cattle food,CAG
177,Mr. Kunder correct your facts. Prove it he is goon.,NAG
178,"Illiterates have started teaching to highest literacy rate people now.
Do u know ur literacy rate in world among muslims ? It is just 0.27%.
Horrible..! The lowest literacy rate among all religions.",CAG
179,Our Hon'ble governor is Best  But Some one not ......,CAG
180,For maintenance bajaj will keep the bike and you have to get it from the workshop when u need it,NAG
181,Sitaram Yechury is an amiable person from the Marxist lobby dominated by the hardcore ideologues.As a member of the upper house he contributed very constructively.,CAG
182,you mean investment made with relations and friends of the above,NAG
183,We Still support Modi sarkaar rather than Chor Congress...Modi sarkaar is much more better & stronger than Chor Congress...,OAG
184,"If it is to be banned, then it should be banned for all other religions as well.",CAG
185,Jio Effect. Its like Modi { Jio } and rest all.,NAG
186,You can not escape from the sin of promoting this useless fellow,OAG
187,ex pm spoke jst wt he has to speak as opposin member.other than ntng,NAG
188,Sanghi dose mila hai Annaji ko fir se kyunki  Delhi me jo MCD election hai filhal.. Ab sab ko samajh gaye hai Lokpal aur corruption crusader kitne paani me hai aur kis k saath hai.,CAG
189,This is time invest in bank stock specially SBI & Icici?,NAG
190,Who care what she eat... Even she eat poo we don't care,CAG
191,If i live in the country where mob behaves like this and have licence to kill then i feel shame...by ur logic..taliban is also right who stone to death people...,NAG
192,Time to #LaughAtDeath. Have you tried it yet?,NAG
193,"Time come to close JNU  by government. 
Why this type of Institute is run by wasting our tax money. 
If JNU students have guts then please earn some money then pay your fees. 
Why tax payer money wasted. 
SHAMEFUL",OAG
194,4 people died and Indian express finds humour in it..rip journalism..,CAG
195,Lol Indian army 🐶pig army ha world 4 largest and 4 time greater  can't fight with  Pakistan  😂😂,OAG
196,Modi banded 500-1000 notes. So his next step should be to band congress party,CAG
197,"Transformational and reinventing sustainable India. Also, rebuilding credibility of core Hindu value of live and let live with mutual respect for all.",NAG
198,Kashmiris also not against people of india but Indian occupation,NAG
199,What does the word cost mean? Does it take foreign debt into consideration? Does it consider human wealth?,CAG
200,Cnbc tv 18  knocks out  competion  on BUDGET  congrats,NAG
201,Fcuk off Shikha Sharma,OAG
202,"Mr. Narang it's just the matter of time, I am not stupid enough to believe that govts works for the betterment of masses.. you need to read thoroughly The Prince by Niccolo or the Republic by Plato. I am sure once this govt complete it's term in the office we will have bigger scams to quote... And that's what Dr. Manmohan Singh is talking about...",CAG
203,hope car occupants are safe and unharmed.,NAG
204,"Hello, what will be Sun pharma in short term and long term?",NAG
205,Tit for tat in the same way....modi request u to plz do action asap...,NAG
206,For what reason?ifu,CAG
207,"Nothing new on it. Indians only gossip, take action instead of spreading failures",CAG
208,"It is remain to be seen how INC (UP-UTTARAKHAND-MANIPUR) will  attract FIRST TIME highly tech savy voters towards the INC as spikes in the recent UP poll pc points to the massive participation of this section in the poll. Moreover, MANN KI BATE directly points to this section relentlesly✔",NAG
209,I want to upgrade from my 180 CC to 400CC,NAG
210,tech mahindra down nd other it stock up like tcs infy wipro..,NAG
211,she is just doing a cheap publicity stunt. may be she wants to be in big boss.,OAG
212,Its like duke 390 why they took so much time to launch it.  Just give a name & changing some out look & reduce price ????,NAG
213,No respect for him now,NAG
214,Sehwag your comments made  no  sense  at all.   You should  not have made the stupid comparison.  There is a big difference cricketer  and a martyr .,CAG
215,"I bought One Plus 2 just about two months ago..2 days back I dropped it and got the entire screen cracked. Though it is working fine.
But I am not able to repair it due to unavailability of service centre in Jammu & Kashmir...
It's frustrating",CAG
216,"That's what happens when you can't discern between a military activity and an act of barbarism.

   Remember the NLI, bodies of whose soldiers you refused to acknowledge during kargil conflict.

    So, keep your knowledge to yourself and live in your own fantasy land.",OAG
217,Cows are definitely gonna vote for Modi ji in 2019 ;),CAG
218,congress mukt bharat k saath saath Tumlogo ka v safaya ho jayega.....haram khoro..... 3 Yrs me 5000 Hindu ka converstion hua islam me .....is par kya bologe.....chutiya.  Party of India CPI.....,OAG
219,Why am I not surprised. Another dictatorship begins to form,CAG
220,A true legend... simply unparalleled... kudos to the greatest philanthropist...,NAG
221,Stupid survey 👎👎👎,OAG
222,Anna Hazard is a novice now. His voice has got no value.,CAG
223,Isro copied my face book technology ---as simple as that,NAG
224,Well Kuwait is an American colony isnt it?,NAG
225,This time your post is much more positive then previous one Sir @udayan mukherjee :D,NAG
226,We have enough support already . Turkey isn't our ally more like a traitor & have come to solve Kashmir issue lol,CAG
227,"I support his speech, RSS is divider of country, they do not want to stay peace in India. communal",OAG
228,"Perfect example of ""Vridha asharam- when people can just see and repeat words which they have heard in early morning "" Indian media is using AANA JI to take only wrong or negative  comments either it's for BJP or AAP .... but would say POOR PERFORMANCE",CAG
229,This would be the first time in the history of Nobel Prize that a bitch's name is being proposed along with HUMANS...!,OAG
230,Do you have any doubt? Why was he holding some many pistols and ammunition etc ?If he is not when police rounded up why was he holding up and firing at police?,CAG
231,Of course nothing can be made in porikistan except training the militants.that was well known to chinkis & they took advantage of it they r colonising in pokistan looting thier reserves through cpec,OAG
232,"Name any minister or MLA/MP whose son is working in ARMY/BSF/CRPF or has sacrificed their lives for the nation while serving at the border?
2. Name any minister or MLA/MP whose children are going to government schools?
3. Name any minister or MLA/MP whose family is treated in common government hospitals and not big private hospitals?
4. Name any minister or MLA/MP whose children do not own big luxurious cars/homes millions of rupees?
5. Name any minister or MLA/MP whose family has not visited abroad on taxpayer’s money?
6. Name any minister or MLA/MP whose family do not stay in 5 star hotels when they visit other states within the country. 
7. Name any minister or MLA/MP whose family couldn’t get a railway or plane ticket even an hour before. 
There is a big such list. They can make us fool by saying all people are equal, but the reality is what we all know and experience.",NAG
233,"Bt massive win?
Seriously?",CAG
234,"Now this idiot realises truth after being slave of a Single family rule , who destroyed our nation all these years !!!!!!!!!!!!!!!!!",OAG
235,"Hi Anuj, can I have your view on Balkrishan Industries and Sun Pharma.",NAG
236,Mr. Macchiwala I have spoken to Muslims in Gujrat and they were thankful to him because he saved their lives. I don't know where do you get this idea that Modi is responsible for riots.,CAG
237,Sir you have open the doors of competition in the telecom market... Good bless you..,NAG
238,Govt has to care of Army more than RSS . Else it will be RSS vs Indian Army  ?,CAG
239,Is actually Kassab hanged and died natural death out of Dengue? We have doubt and govt should release video evidence to prove that Kassab was actually hanged.,NAG
240,First of all finish these so called intellectual who are supporting anti-national,NAG
241,"Please don't change, kujliwal is needed for BJP just like Rahul Gandi",NAG
242,it's 2PM already  but program is still not aired.,NAG
243,Why Linux is free and virus proof? Why microsoft windows so expensive? Why it is not virus proof.? Why all PC manufaturers prefer microsoft windows over linux ?,NAG
244,Tow terrorst killd at bouder...indian army is a terrorst mob,CAG
245,I have a question for you sir. Can you please name the temple please also which Kashmiri Pandits are chanting bhajans?,CAG
246,You are great n no doubt we are with you,NAG
247,"Also according to her feminists who are ""aggressive"" are comparable to Nazis. Does she even know who Nazis were and what happened during the Holocaust? Is she really comparing ""aggressive feminism"" to genocide?",OAG
248,Pakistan is sending dead bodies to India .. :D like yesterday attack,NAG
249,"Invested in technology to secure transactions, differentiate bank from other players: Shikha Sharma",NAG
250,"In graduation there is a sub.  Of Political science. If u knw thn this pist opinion poll playing very important role in terms of propaganda, to set people mind.",NAG
251,"And watch it 24/7 , and dont watch anything else",CAG
252,Nonsense,OAG
253,Revenue projections have to be owned by minister irrespective of projections that is given by industry. That is the only perspective. He should think of scenario building and contingencies in case projections. That is the business perspective. He has to get beyond of self glorification and just own up his budgets,NAG
254,"The country who has an illiterate pm like modi what the people can expect from him 
People are dying in india without home and food but pm busy in making adhaar card for animal 
It's really a shameful situation for 125 crore indian",OAG
255,Anna you don't see the corruption of BJP and Congress that's happening from past 60 years ??,CAG
256,Could you Ask Vishal on his Views on Automation and Artifical Intelligence on how to reskill people,NAG
257,"mah govt itself is at loss of 25-30% annual revenue, plus this will increase unemployement, they are planning to rope in some km area of highway under concerned municipal dept, bars and shops in mumbai are already working. Everyone knows govt will litreally go bankrupt without this industry such is the revenue from it",NAG
258,"Vishnu Sreevalsan on this mother's day you can greet them.
""Hope your mummy stays yummy this mother's day.""",CAG
259,"#ENTERTAINMENT | After #NiaSharma was slut-shamed for posting a music video, the actor had the perfect response: she posted a second video!",OAG
260,Call in the airforce and bomb the hell out of dantewada,CAG
261,Crocodile tears.,CAG
262,"It takes quite a while for mkts to consolidate. If u want cash immediately, get married to someone in the Q and avail Rs. 2.5 lakhs cash. Don't forget to invite Bank Branch Manager for the wedding to enable confirmation!!!",NAG
263,"Friends ..stop giving so much importance to these fools...Chachunder, just....",OAG
264,How come all the script that's mention on cnbc 20/20 never makes it tht,NAG
